,distance,method,k,Input,Precision,Recall,NDCG,F1,Time
0,L2,HNSW(lightweight),100,figure only,0.284676,0.20585174,0.255419127,0.148853885,23.32846832
1,L2,HNSW(lightweight),100,one caption,0.252904,0.182655161,0.226675469,0.135691196,28.77084947
2,L2,HNSW(lightweight),100,figure and one caption,0.408962,0.30602343,0.381430144,0.217620612,43.9862504
3,L2,HNSW(lightweight),100,figure and two captions,0.499828,0.365530612,0.467041246,0.265284457,50.35074067
4,L2,HNSW(lightweight),100,figure and three captions,0.577994,0.405949538,0.533764304,0.30341986,57.15693831
5,L2,HNSW(lightweight),100,figure and four captions,0.660572,0.440634757,0.591942174,0.340662413,58.94068503
6,L2,HNSW(lightweight),100,all captions,0.574654,0.402912382,0.52915302,0.300114705,65.11393499
7,L2,HNSW(lightweight),100,all,0.806094,0.483882576,0.659885875,0.398018664,68.17084193
